,z1,z2,z3,z4,z5,z6,z7,z8,z9,weight,k
355,-1,1,0,0,0,0,0,0,-1,0.124999999999994,4
356,-1,1,0,0,0,0,0,0,0,-1.9999999999999,4
357,-1,1,0,0,0,0,0,0,1,0.124999999999994,4
358,-1,1,0,0,0,0,0,1,0,0.124999999999994,4
359,-1,1,0,0,0,0,1,0,0,0.124999999999994,4
360,-1,1,0,0,0,1,0,0,0,0.124999999999994,4
361,-1,1,0,0,1,0,0,0,0,0.124999999999994,4
362,-1,1,0,1,0,0,0,0,0,0.124999999999994,4
363,-1,1,1,0,0,0,0,0,0,0.124999999999994,4
364,-1,1.73205080756888,0,0,0,0,0,0,0,0.0833333333333293,4
365,-0.741963784302726,0,0,0,0,0,0,0,0,0.454124145231909,4
366,0,-2.33441421833898,0,0,0,0,0,0,0,0.0458758547680663,4
367,0,-1.73205080756888,-1,0,0,0,0,0,0,0.0833333333333293,4
368,0,-1.73205080756888,0,-1,0,0,0,0,0,0.0833333333333293,4
369,0,-1.73205080756888,0,0,-1,0,0,0,0,0.0833333333333293,4
370,0,-1.73205080756888,0,0,0,-1,0,0,0,0.0833333333333293,4
371,0,-1.73205080756888,0,0,0,0,-1,0,0,0.0833333333333293,4
372,0,-1.73205080756888,0,0,0,0,0,-1,0,0.0833333333333293,4
373,0,-1.73205080756888,0,0,0,0,0,0,-1,0.0833333333333293,4
374,0,-1.73205080756888,0,0,0,0,0,0,0,-1.33333333333327,4
375,0,-1.73205080756888,0,0,0,0,0,0,1,0.0833333333333293,4
376,0,-1.73205080756888,0,0,0,0,0,1,0,0.0833333333333293,4
377,0,-1.73205080756888,0,0,0,0,1,0,0,0.0833333333333293,4
378,0,-1.73205080756888,0,0,0,1,0,0,0,0.0833333333333293,4
379,0,-1.73205080756888,0,0,1,0,0,0,0,0.0833333333333293,4
380,0,-1.73205080756888,0,1,0,0,0,0,0,0.0833333333333293,4
381,0,-1.73205080756888,1,0,0,0,0,0,0,0.0833333333333293,4
382,0,-1,-1.73205080756888,0,0,0,0,0,0,0.0833333333333293,4
383,0,-1,-1,-1,0,0,0,0,0,0.124999999999994,4
384,0,-1,-1,0,-1,0,0,0,0,0.124999999999994,4
385,0,-1,-1,0,0,-1,0,0,0,0.124999999999994,4
386,0,-1,-1,0,0,0,-1,0,0,0.124999999999994,4
387,0,-1,-1,0,0,0,0,-1,0,0.124999999999994,4
388,0,-1,-1,0,0,0,0,0,-1,0.124999999999994,4
389,0,-1,-1,0,0,0,0,0,0,-1.9999999999999,4
390,0,-1,-1,0,0,0,0,0,1,0.124999999999994,4
391,0,-1,-1,0,0,0,0,1,0,0.124999999999994,4
392,0,-1,-1,0,0,0,1,0,0,0.124999999999994,4
393,0,-1,-1,0,0,1,0,0,0,0.124999999999994,4
394,0,-1,-1,0,1,0,0,0,0,0.124999999999994,4
395,0,-1,-1,1,0,0,0,0,0,0.124999999999994,4
396,0,-1,0,-1.73205080756888,0,0,0,0,0,0.0833333333333293,4
397,0,-1,0,-1,-1,0,0,0,0,0.124999999999994,4
398,0,-1,0,-1,0,-1,0,0,0,0.124999999999994,4
399,0,-1,0,-1,0,0,-1,0,0,0.124999999999994,4
400,0,-1,0,-1,0,0,0,-1,0,0.124999999999994,4
401,0,-1,0,-1,0,0,0,0,-1,0.124999999999994,4
402,0,-1,0,-1,0,0,0,0,0,-1.9999999999999,4
403,0,-1,0,-1,0,0,0,0,1,0.124999999999994,4
404,0,-1,0,-1,0,0,0,1,0,0.124999999999994,4
405,0,-1,0,-1,0,0,1,0,0,0.124999999999994,4
406,0,-1,0,-1,0,1,0,0,0,0.124999999999994,4
407,0,-1,0,-1,1,0,0,0,0,0.124999999999994,4
408,0,-1,0,0,-1.73205080756888,0,0,0,0,0.0833333333333293,4
409,0,-1,0,0,-1,-1,0,0,0,0.124999999999994,4
410,0,-1,0,0,-1,0,-1,0,0,0.124999999999994,4
411,0,-1,0,0,-1,0,0,-1,0,0.124999999999994,4
412,0,-1,0,0,-1,0,0,0,-1,0.124999999999994,4
413,0,-1,0,0,-1,0,0,0,0,-1.9999999999999,4
414,0,-1,0,0,-1,0,0,0,1,0.124999999999994,4
415,0,-1,0,0,-1,0,0,1,0,0.124999999999994,4
416,0,-1,0,0,-1,0,1,0,0,0.124999999999994,4
417,0,-1,0,0,-1,1,0,0,0,0.124999999999994,4
418,0,-1,0,0,0,-1.73205080756888,0,0,0,0.0833333333333293,4
419,0,-1,0,0,0,-1,-1,0,0,0.124999999999994,4
420,0,-1,0,0,0,-1,0,-1,0,0.124999999999994,4
421,0,-1,0,0,0,-1,0,0,-1,0.124999999999994,4
422,0,-1,0,0,0,-1,0,0,0,-1.9999999999999,4
423,0,-1,0,0,0,-1,0,0,1,0.124999999999994,4
424,0,-1,0,0,0,-1,0,1,0,0.124999999999994,4
425,0,-1,0,0,0,-1,1,0,0,0.124999999999994,4
426,0,-1,0,0,0,0,-1.73205080756888,0,0,0.0833333333333293,4
427,0,-1,0,0,0,0,-1,-1,0,0.124999999999994,4
428,0,-1,0,0,0,0,-1,0,-1,0.124999999999994,4
429,0,-1,0,0,0,0,-1,0,0,-1.9999999999999,4
430,0,-1,0,0,0,0,-1,0,1,0.124999999999994,4
431,0,-1,0,0,0,0,-1,1,0,0.124999999999994,4
432,0,-1,0,0,0,0,0,-1.73205080756888,0,0.0833333333333293,4
433,0,-1,0,0,0,0,0,-1,-1,0.124999999999994,4
434,0,-1,0,0,0,0,0,-1,0,-1.9999999999999,4
435,0,-1,0,0,0,0,0,-1,1,0.124999999999994,4
436,0,-1,0,0,0,0,0,0,-1.73205080756888,0.0833333333333293,4
