,z1,z2,z3,z4,z5,z6,z7,z8,z9
156,-9.687968796879687,-9.687968796879687,-9.687968796879687,-9.687968796879687,-9.687968796879687,-9.687968796879687,-9.687968796879687,-9.687968796879687,-9.687968796879687
157,-9.685968596859686,-9.685968596859686,-9.685968596859686,-9.685968596859686,-9.685968596859686,-9.685968596859686,-9.685968596859686,-9.685968596859686,-9.685968596859686
158,-9.683968396839685,-9.683968396839685,-9.683968396839685,-9.683968396839685,-9.683968396839685,-9.683968396839685,-9.683968396839685,-9.683968396839685,-9.683968396839685
159,-9.681968196819682,-9.681968196819682,-9.681968196819682,-9.681968196819682,-9.681968196819682,-9.681968196819682,-9.681968196819682,-9.681968196819682,-9.681968196819682
160,-9.67996799679968,-9.67996799679968,-9.67996799679968,-9.67996799679968,-9.67996799679968,-9.67996799679968,-9.67996799679968,-9.67996799679968,-9.67996799679968
161,-9.677967796779678,-9.677967796779678,-9.677967796779678,-9.677967796779678,-9.677967796779678,-9.677967796779678,-9.677967796779678,-9.677967796779678,-9.677967796779678
162,-9.675967596759676,-9.675967596759676,-9.675967596759676,-9.675967596759676,-9.675967596759676,-9.675967596759676,-9.675967596759676,-9.675967596759676,-9.675967596759676
163,-9.673967396739673,-9.673967396739673,-9.673967396739673,-9.673967396739673,-9.673967396739673,-9.673967396739673,-9.673967396739673,-9.673967396739673,-9.673967396739673
164,-9.671967196719672,-9.671967196719672,-9.671967196719672,-9.671967196719672,-9.671967196719672,-9.671967196719672,-9.671967196719672,-9.671967196719672,-9.671967196719672
165,-9.66996699669967,-9.66996699669967,-9.66996699669967,-9.66996699669967,-9.66996699669967,-9.66996699669967,-9.66996699669967,-9.66996699669967,-9.66996699669967
166,-9.667966796679668,-9.667966796679668,-9.667966796679668,-9.667966796679668,-9.667966796679668,-9.667966796679668,-9.667966796679668,-9.667966796679668,-9.667966796679668
